POSIX,Iprec,WindSp,AirT,RH,Swglob,CloudTrans
02/01/2010 12:00,10,1,20,50,400,1
02/01/2010 12:30,10,1,20,50,400,1
02/01/2010 13:00,10,1,20,50,400,1
02/01/2010 13:30,10,1,20,50,400,1
02/01/2010 14:00,10,1,20,50,400,1
02/01/2010 14:30,10,1,20,50,400,1
02/01/2010 15:00,10,1,20,50,400,1
02/01/2010 15:30,10,1,20,50,400,1
02/01/2010 16:00,10,1,20,50,400,1
02/01/2010 16:30,10,1,20,50,400,1
02/01/2010 17:00,10,1,20,50,400,1
02/01/2010 17:30,10,1,20,50,400,1
02/01/2010 18:00,10,1,20,50,400,1
02/01/2010 18:30,10,1,20,50,400,1
02/01/2010 19:00,10,1,20,50,400,1
02/01/2010 19:30,10,1,20,50,400,1
02/01/2010 20:00,10,1,20,50,400,1
02/01/2010 20:30,10,1,20,50,400,1
02/01/2010 21:00,10,1,20,50,400,1
02/01/2010 21:30,10,1,20,50,400,1
02/01/2010 22:00,10,1,20,50,400,1
02/01/2010 22:30,10,1,20,50,400,1
02/01/2010 23:00,10,1,20,50,400,1
02/01/2010 23:30,10,1,20,50,400,1
03/01/2010 00:00,10,1,20,50,400,1
03/01/2010 00:30,10,1,20,50,400,1
03/01/2010 01:00,10,1,20,50,400,1
03/01/2010 01:30,10,1,20,50,400,1
03/01/2010 02:00,10,1,20,50,400,1
03/01/2010 02:30,10,1,20,50,400,1
03/01/2010 03:00,10,1,20,50,400,1
03/01/2010 03:30,10,1,20,50,400,1
03/01/2010 04:00,10,1,20,50,400,1
03/01/2010 04:30,10,1,20,50,400,1
03/01/2010 05:00,10,1,20,50,400,1
03/01/2010 05:30,10,1,20,50,400,1
03/01/2010 06:00,10,1,20,50,400,1
03/01/2010 06:30,10,1,20,50,400,1
03/01/2010 07:00,10,1,20,50,400,1
03/01/2010 07:30,10,1,20,50,400,1
03/01/2010 08:00,10,1,20,50,400,1
03/01/2010 08:30,10,1,20,50,400,1
03/01/2010 09:00,10,1,20,50,400,1
03/01/2010 09:30,10,1,20,50,400,1
03/01/2010 10:00,10,1,20,50,400,1
03/01/2010 10:30,10,1,20,50,400,1
03/01/2010 11:00,10,1,20,50,400,1
03/01/2010 11:30,10,1,20,50,400,1
03/01/2010 12:00,10,1,20,50,400,1
03/01/2010 12:30,10,1,20,50,400,1
03/01/2010 13:00,10,1,20,50,400,1
03/01/2010 13:30,10,1,20,50,400,1
03/01/2010 14:00,10,1,20,50,400,1
03/01/2010 14:30,10,1,20,50,400,1
03/01/2010 15:00,10,1,20,50,400,1
03/01/2010 15:30,10,1,20,50,400,1
03/01/2010 16:00,10,1,20,50,400,1
03/01/2010 16:30,10,1,20,50,400,1
03/01/2010 17:00,10,1,20,50,400,1
03/01/2010 17:30,10,1,20,50,400,1
03/01/2010 18:00,10,1,20,50,400,1
03/01/2010 18:30,10,1,20,50,400,1
03/01/2010 19:00,10,1,20,50,400,1
03/01/2010 19:30,10,1,20,50,400,1
03/01/2010 20:00,10,1,20,50,400,1
03/01/2010 20:30,10,1,20,50,400,1
03/01/2010 21:00,10,1,20,50,400,1
03/01/2010 21:30,10,1,20,50,400,1
03/01/2010 22:00,10,1,20,50,400,1
03/01/2010 22:30,10,1,20,50,400,1
03/01/2010 23:00,10,1,20,50,400,1
03/01/2010 23:30,10,1,20,50,400,1
04/01/2010 00:00,10,1,20,50,400,1
04/01/2010 00:30,10,1,20,50,400,1
04/01/2010 01:00,10,1,20,50,400,1
04/01/2010 01:30,10,1,20,50,400,1
04/01/2010 02:00,10,1,20,50,400,1
04/01/2010 02:30,10,1,20,50,400,1
04/01/2010 03:00,10,1,20,50,400,1
04/01/2010 03:30,10,1,20,50,400,1
04/01/2010 04:00,10,1,20,50,400,1
04/01/2010 04:30,10,1,20,50,400,1
04/01/2010 05:00,10,1,20,50,400,1
04/01/2010 05:30,10,1,20,50,400,1
04/01/2010 06:00,10,1,20,50,400,1
04/01/2010 06:30,10,1,20,50,400,1
04/01/2010 07:00,10,1,20,50,400,1
04/01/2010 07:30,10,1,20,50,400,1
04/01/2010 08:00,10,1,20,50,400,1
04/01/2010 08:30,10,1,20,50,400,1
04/01/2010 09:00,10,1,20,50,400,1
04/01/2010 09:30,10,1,20,50,400,1
04/01/2010 10:00,10,1,20,50,400,1
04/01/2010 10:30,10,1,20,50,400,1
04/01/2010 11:00,10,1,20,50,400,1
04/01/2010 11:30,10,1,20,50,400,1
04/01/2010 12:00,10,1,20,50,400,1
04/01/2010 12:30,10,1,20,50,400,1
04/01/2010 13:00,10,1,20,50,400,1
04/01/2010 13:30,10,1,20,50,400,1
04/01/2010 14:00,10,1,20,50,400,1
04/01/2010 14:30,10,1,20,50,400,1
04/01/2010 15:00,10,1,20,50,400,1
04/01/2010 15:30,10,1,20,50,400,1
04/01/2010 16:00,10,1,20,50,400,1
04/01/2010 16:30,10,1,20,50,400,1
04/01/2010 17:00,10,1,20,50,400,1
04/01/2010 17:30,10,1,20,50,400,1
04/01/2010 18:00,10,1,20,50,400,1
04/01/2010 18:30,10,1,20,50,400,1
04/01/2010 19:00,10,1,20,50,400,1
04/01/2010 19:30,10,1,20,50,400,1
04/01/2010 20:00,10,1,20,50,400,1
04/01/2010 20:30,10,1,20,50,400,1
04/01/2010 21:00,10,1,20,50,400,1
04/01/2010 21:30,10,1,20,50,400,1
04/01/2010 22:00,10,1,20,50,400,1
04/01/2010 22:30,10,1,20,50,400,1
04/01/2010 23:00,10,1,20,50,400,1
04/01/2010 23:30,10,1,20,50,400,1
05/01/2010 00:00,10,1,20,50,400,1
05/01/2010 00:30,10,1,20,50,400,1
05/01/2010 01:00,10,1,20,50,400,1
05/01/2010 01:30,10,1,20,50,400,1
05/01/2010 02:00,10,1,20,50,400,1
05/01/2010 02:30,10,1,20,50,400,1
05/01/2010 03:00,10,1,20,50,400,1
05/01/2010 03:30,10,1,20,50,400,1
05/01/2010 04:00,10,1,20,50,400,1
05/01/2010 04:30,10,1,20,50,400,1
05/01/2010 05:00,10,1,20,50,400,1
05/01/2010 05:30,10,1,20,50,400,1
05/01/2010 06:00,10,1,20,50,400,1
05/01/2010 06:30,10,1,20,50,400,1
05/01/2010 07:00,10,1,20,50,400,1
05/01/2010 07:30,10,1,20,50,400,1
05/01/2010 08:00,10,1,20,50,400,1
05/01/2010 08:30,10,1,20,50,400,1
05/01/2010 09:00,10,1,20,50,400,1
05/01/2010 09:30,10,1,20,50,400,1
05/01/2010 10:00,10,1,20,50,400,1
05/01/2010 10:30,10,1,20,50,400,1
05/01/2010 11:00,10,1,20,50,400,1
05/01/2010 11:30,10,1,20,50,400,1
05/01/2010 12:00,10,1,20,50,400,1
05/01/2010 12:30,10,1,20,50,400,1
05/01/2010 13:00,10,1,20,50,400,1
05/01/2010 13:30,10,1,20,50,400,1
05/01/2010 14:00,10,1,20,50,400,1
05/01/2010 14:30,10,1,20,50,400,1
05/01/2010 15:00,10,1,20,50,400,1
05/01/2010 15:30,10,1,20,50,400,1
05/01/2010 16:00,10,1,20,50,400,1
05/01/2010 16:30,10,1,20,50,400,1
05/01/2010 17:00,10,1,20,50,400,1
05/01/2010 17:30,10,1,20,50,400,1
05/01/2010 18:00,10,1,20,50,400,1
05/01/2010 18:30,10,1,20,50,400,1
05/01/2010 19:00,10,1,20,50,400,1
05/01/2010 19:30,10,1,20,50,400,1
05/01/2010 20:00,10,1,20,50,400,1
05/01/2010 20:30,10,1,20,50,400,1
05/01/2010 21:00,10,1,20,50,400,1
05/01/2010 21:30,10,1,20,50,400,1
05/01/2010 22:00,10,1,20,50,400,1
05/01/2010 22:30,10,1,20,50,400,1
05/01/2010 23:00,10,1,20,50,400,1
